approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
1,137,0,138,359,ALVIN,Brazoria (County),1606,2,229,0,0,1c3b2c5f4b17ece38a061e3943616f79,5a2eb794758c6e4347f511e8,2017-12-11T16:51:32.836Z,272,25546,172485,57344,TX,255375,180498,503,0,1,77511
0,3,0,3,1971,HANKAMER,Chambers (County),1606,0,3,0,0,c6b36e358f1a3ba234ffc7d526576e49,5a2eb794758c6e4347f511fd,2017-12-11T16:51:32.861Z,0,807,2000,5106,TX,7913,5913,3,0,3,77514
1,50,0,51,863,BRAZORIA,Brazoria (County),1606,0,59,0,1,c5d207e44dcfe8e42e2cac8a63313aeb,5a2eb794758c6e4347f511f0,2017-12-11T16:51:32.855Z,92,9478,69717,10951,TX,90147,131191,152,0,357,77422
0,23,0,23,320,MANVEL,Brazoria (County),1606,0,37,0,0,84d98673d99d5cfa4f3f8e325c79e143,5a2eb794758c6e4347f511f4,2017-12-11T16:51:32.857Z,46,3971,32000,2205,TX,38177,26583,83,0,164,77578
3,665,0,668,1013,LUFKIN,Angelina (County),1606,3,873,0,3,d40b9fc6c95ea5329a1b1f5060b4d064,5a2eb794758c6e4347f511df,2017-12-11T16:51:32.832Z,422,289449,479157,268220,TX,1036825,1317325,1301,0,2,75904
1,43,0,44,302,ANGLETON,Brazoria (County),1606,0,70,0,1,909999137f77d24979cc6c135d42a845,5a2eb794758c6e4347f511ef,2017-12-11T16:51:32.855Z,138,8649,66677,22816,TX,98143,63154,209,0,522,77515
1,0,0,1,23165,ANAHUAC,Chambers (County),1606,0,0,1,0,ffae2f9ca8015e8ebe640c2c1fd66fdf,5a2eb794758c6e4347f511f9,2017-12-11T16:51:32.859Z,0,0,2801,10500,TX,13301,23165,1,0,1,77535
0,145,0,145,975,POLLOK,Angelina (County),1606,1,171,0,1,184c34db68427ca804f751fece76f465,5a2eb794758c6e4347f511e7,2017-12-11T16:51:32.836Z,69,61983,71629,63530,TX,197142,235903,242,0,345,75969
0,60,0,60,130,PEARLAND,Brazoria (County),1606,0,60,0,0,8782df243f673eddac0dd64c5b29275e,5a2eb794758c6e4347f511f5,2017-12-11T16:51:32.857Z,176,6892,90000,6333,TX,103225,30708,236,0,537,77581
2,253,0,255,943,DIBOLL,Angelina (County),1606,2,365,0,2,84822a9f84bf3324a1d3d015dd69a6fe,5a2eb794758c6e4347f51224,2017-12-11T16:51:32.878Z,107,128425,175248,74426,TX,378100,449099,476,0,748,75941
0,12,0,12,311,BEACH CITY,Chambers (County),1606,0,25,0,0,97fada76f9c10b78b5926b164a518c2a,5a2eb794758c6e4347f511fb,2017-12-11T16:51:32.860Z,9,3665,8000,1159,TX,12824,10590,34,0,50,77520
7,517,0,524,1893,HUNTINGTON,Angelina (County),1606,5,672,1,9,0431f34fc6b2b2373917f5a9471357cb,5a2eb794758c6e4347f51225,2017-12-11T16:51:32.879Z,178,271984,348426,306222,TX,926632,1637749,865,0,1,75949
3,73,1,77,1017,PEARLAND,Brazoria (County),1606,0,75,1,3,88e8562c6a44212e2684a4de1dc90e1b,5a2eb794758c6e4347f51208,2017-12-11T16:51:32.866Z,187,31128,124479,51821,TX,207428,270494,266,1,654,77584
0,45,0,45,348,ROSHARON,Brazoria (County),1606,0,94,0,0,143b89b794107efe0fde156ac4c7fc0e,5a2eb794758c6e4347f511f6,2017-12-11T16:51:32.858Z,69,7482,68548,9441,TX,85471,56759,163,0,308,77583
7,437,0,444,1381,ZAVALLA,Angelina (County),1606,4,440,2,3,4a20a41034872928ceb4a46b7503f9c0,5a2eb794758c6e4347f51228,2017-12-11T16:51:32.880Z,163,210736,381180,237127,TX,829042,845013,612,0,820,75980
0,6,0,6,459,CLEAR LAKE SHORES,Galveston (County),1606,0,6,0,0,55c30005bdf0b99b7b6e01753140f3c1,5a2eb794758c6e4347f51241,2017-12-11T16:51:32.955Z,23,0,10000,5200,TX,15200,13308,29,0,42,77565
0,39,0,39,52,LAKE JACKSON,Brazoria (County),1606,0,17,0,0,6835fd0359edb6764978d7105323b6b6,5a2eb794758c6e4347f51206,2017-12-11T16:51:32.865Z,92,2601,64000,748,TX,67350,5646,109,0,358,77566
0,51,0,51,239,KEMAH,Galveston (County),1606,0,36,0,0,1b5e81f4546bb5a7def801bbae83e160,5a2eb794758c6e4347f5124d,2017-12-11T16:51:32.960Z,86,7468,81529,3786,TX,92784,29102,122,0,267,77565
59,2,6,2254,3134,KOUNTZE,Hardin (County),1606,28,1,4,46,89dd64147fe34a9e0c89c74b6114c192,5a2eb794758c6e4347f51259,2017-12-11T16:51:32.965Z,402,1236169,3677926,1385561,TX,6299655,6765977,2159,3,2,77625
6,181,0,187,2116,GILCHRIST,Galveston (County),1606,3,140,0,1,cbe60700759d1938aadd7698dfcb0c0d,5a2eb794758c6e4347f51249,2017-12-11T16:51:32.958Z,55,104806,346995,106557,TX,558358,421019,199,0,271,77617
0,1,0,1,7029,BEAUMONT,Hardin (County),1606,0,1,0,0,f4a5a2b3769a09befad07270da5abafb,5a2eb794758c6e4347f51255,2017-12-11T16:51:32.964Z,0,2582,2463,3760,TX,8805,7029,1,0,1,77706
0,5,0,5,2764,VIDOR,Hardin (County),1606,0,4,0,0,869b6bafe03e0ca099adc3bc683a4fa5,5a2eb794758c6e4347f5125d,2017-12-11T16:51:32.967Z,2,2850,8000,10686,TX,21536,16585,6,0,6,77662
0,50,0,50,221,HOUSTON,Fort Bend (County),1606,0,56,0,0,d0848580ce7aeebcc6a383d48d9653df,5a2eb794758c6e4347f51238,2017-12-11T16:51:32.951Z,91,6631,82000,7491,TX,96122,32510,147,0,320,77053
