approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
2,192,0,194,823,BROWNSVILLE,Cameron (County),1780,2,422,0,0,91b4d01d9fef4208866ef75cffc9e930,5a2eb849758c6e4347f54f5c,2017-12-11T16:54:33.099Z,59,29102,68537,270323,TX,367963,398396,484,0,620,78520
1,9,0,10,1823,BAYVIEW,Cameron (County),1780,1,24,0,0,271f3e981fbfa79bf0f7fdc3d298c9ef,5a2eb849758c6e4347f54fa7,2017-12-11T16:54:33.143Z,3,1280,3072,35707,TX,40059,51034,28,0,32,78566
1,106,0,107,560,BROWNSVILLE,Cameron (County),1780,1,359,0,0,943ad7bd9c2028e94a130ae467b62db3,5a2eb849758c6e4347f5505a,2017-12-11T16:54:33.951Z,74,16632,33336,128924,TX,178892,242939,434,0,598,78526
1,139,0,140,664,PHARR,Hidalgo (County),1780,0,390,0,0,fdfce311b93ef1352cf642125831ff86,5a2eb849758c6e4347f55080,2017-12-11T16:54:33.992Z,76,23550,59839,186379,TX,269768,309330,466,0,545,78577
19,525,3,547,1453,DONNA,Hidalgo (County),1780,13,922,3,2,7f6733f5d8c56fffb9993246ca824dac,5a2eb849758c6e4347f55069,2017-12-11T16:54:33.965Z,77,185138,265829,985017,TX,1435984,1477870,1017,2,1,78537
0,18,0,18,578,OLMITO,Cameron (County),1780,0,50,0,0,467af02c1408164cd68a265316086662,5a2eb849758c6e4347f5506e,2017-12-11T16:54:33.967Z,9,5727,6014,16024,TX,27766,34121,59,0,68,78575
0,16,0,16,514,MCALLEN,Hidalgo (County),1780,0,58,0,0,6743a10cf7bc4e2f1cedec2491438d47,5a2eb849758c6e4347f5507d,2017-12-11T16:54:33.991Z,11,1296,8210,20260,TX,29765,35482,69,0,81,78503
0,8,0,8,571,LOS INDIOS,Cameron (County),1780,0,18,0,0,b201cdcec87108b14a4cfe1a6e4a5791,5a2eb849758c6e4347f55062,2017-12-11T16:54:33.962Z,5,1934,4100,7981,TX,14015,13138,23,0,24,78567
0,18,0,18,662,EDINBURG,Hidalgo (County),1780,0,63,0,0,f234e03d164af22285dbeed6585bf768,5a2eb849758c6e4347f55076,2017-12-11T16:54:33.970Z,13,996,7544,30946,TX,39486,50294,76,0,89,78542
3,26,0,29,1365,LAGUNA VISTA,Cameron (County),1780,2,79,0,0,88b2df28e18ac4f07f4866fada3af566,5a2eb849758c6e4347f5505d,2017-12-11T16:54:33.954Z,12,11602,38111,56136,TX,105850,126917,93,0,149,78578
0,2,0,2,2008,PRIMERA,Cameron (County),1780,0,3,0,0,908c54b4f38d77737a4bb65e9a0d8939,5a2eb849758c6e4347f55064,2017-12-11T16:54:33.963Z,0,0,0,5217,TX,5217,6025,3,0,3,78552
1,21,0,22,1806,SAN PERLITA,Willacy (County),1780,1,39,0,0,a2211bb8953569228cab638c965b24b8,5a2eb849758c6e4347f55087,2017-12-11T16:54:33.995Z,5,5839,11392,62833,TX,80064,81290,45,0,58,78590
11,276,6,293,2334,RIO HONDO,Cameron (County),1780,11,475,4,5,b54b7bf5fd329fb8798024e2b5e3a7e4,5a2eb84a758c6e4347f550a0,2017-12-11T16:54:34.006Z,38,61601,102018,839447,TX,1003066,1243794,533,6,618,78583
0,27,0,27,605,ALTON,Hidalgo (County),1780,0,71,0,0,9b29cf1e3386604ee88b400df76be018,5a2eb84a758c6e4347f550af,2017-12-11T16:54:34.013Z,14,2750,6616,28917,TX,38284,51428,85,0,97,78573
0,1,0,1,7240,LOS FRESNOS,Cameron (County),1780,0,1,0,0,abd4c80d99be455c5054db6aa8a2f199,5a2eb84a758c6e4347f550b9,2017-12-11T16:54:34.017Z,0,908,976,6332,TX,8216,7240,1,0,1,78522
74,646,7,727,2163,HARLINGEN,Cameron (County),1780,81,1,11,3,2448641235a346bc99a8fb088306ee81,5a2eb84a758c6e4347f5509b,2017-12-11T16:54:34.004Z,167,274530,287389,2138198,TX,2700117,3575515,1653,6,1,78552
55,1,23,1374,1606,SAN BENITO,Cameron (County),1780,53,2,5,18,80b89d0fab0379cbd82b8e294de529ad,5a2eb849758c6e4347f55066,2017-12-11T16:54:33.964Z,303,396819,506105,3174848,TX,4077772,4926358,3067,22,3,78586
