approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
0,0,1,1,22782,ALVIN,Brazoria (County),1791,0,0,0,1,37c2a025596c1430b7f3df6d2c1bf89d,5a2eb84d758c6e4347f5577b,2017-12-11T16:54:37.389Z,1,0,1402,27398,TX,28800,45564,2,1,2,77512
1,57,1,59,2035,DANBURY,Brazoria (County),1791,2,109,0,1,0d45138c062bdf1a49df36f8b103502e,5a2eb84d758c6e4347f5579b,2017-12-11T16:54:37.416Z,11,22374,19768,99728,TX,141870,250354,123,1,363,77534
0,0,0,0,10867,GALVESTON,Austin (County),1791,1,0,0,0,c43832e3d1b6c97ed8557b6fc2c04067,5a2eb84d758c6e4347f55796,2017-12-11T16:54:37.414Z,0,0,0,0,TX,0,10867,1,0,1,77550
1,1,0,2,2265,BELLVILLE,Austin (County),1791,0,5,1,0,f32286ca58fa2136b8f616fc902ee1d0,5a2eb84d758c6e4347f55779,2017-12-11T16:54:37.388Z,5,685,1118,21941,TX,23744,24913,11,0,15,77418
3,213,2,218,1385,LUFKIN,Angelina (County),1791,6,327,2,2,52f947c15eab728596de4952be478270,5a2eb84d758c6e4347f557b4,2017-12-11T16:54:37.437Z,76,63361,50363,283703,TX,397427,571963,413,2,1,75901
1,5,0,6,1832,ARCOLA,Brazoria (County),1791,1,15,0,0,c9723896e7784285d9aacc70086d2df9,5a2eb84d758c6e4347f557b9,2017-12-11T16:54:37.439Z,4,3750,6166,19508,TX,29424,36642,20,0,28,77583
8,152,1,161,1269,BRAZORIA,Brazoria (County),1791,5,288,3,0,ea8a3dfc14c4b9bdd920a51d15b4eb09,5a2eb84d758c6e4347f55783,2017-12-11T16:54:37.392Z,116,52671,87070,313059,TX,452800,522859,412,0,956,77422
0,2,0,2,641,SEALY,Austin (County),1791,0,10,0,0,e8de12bde69f5f5f14e737cad5d2637c,5a2eb84d758c6e4347f5577a,2017-12-11T16:54:37.388Z,3,792,0,947,TX,1740,8338,13,0,22,77474
0,12,0,12,1069,DAMON,Brazoria (County),1791,0,26,0,0,db5fed4c47bc3687586d6490be659812,5a2eb84d758c6e4347f55788,2017-12-11T16:54:37.408Z,10,3451,2622,26240,TX,32313,38482,36,0,67,77430
4,82,0,86,1026,CLUTE,Brazoria (County),1791,3,143,1,0,0804da3a79e1da43cea50f2e7b88afe8,5a2eb84d758c6e4347f55784,2017-12-11T16:54:37.392Z,51,21467,33879,142134,TX,197480,203238,198,0,614,77531
0,28,1,29,1417,ZAVALLA,Angelina (County),1791,0,57,0,1,437439868de3441f4bb96cb25fbdf0e1,5a2eb84d758c6e4347f5577f,2017-12-11T16:54:37.390Z,21,7596,10484,68116,TX,86196,111932,79,1,150,75980
1,204,1,206,993,LUFKIN,Angelina (County),1791,3,354,0,1,f9c092b1be9b81ec3c0ce4f074562393,5a2eb84d758c6e4347f557a3,2017-12-11T16:54:37.419Z,85,56557,55583,231643,TX,343782,439786,443,1,1,75904
0,3,0,3,1379,FRIENDSWOOD,Brazoria (County),1791,0,5,0,0,1baaa3c447061cbd5f9484a9b7e18dcf,5a2eb84d758c6e4347f5579c,2017-12-11T16:54:37.416Z,4,1774,1898,6341,TX,10012,12414,9,0,24,77546
18,266,8,292,3030,FREEPORT,Brazoria (County),1791,37,569,12,12,ca329dcbf735409ca16cfc5240643f99,5a2eb84d758c6e4347f557bc,2017-12-11T16:54:37.441Z,194,85635,226522,829708,TX,1141865,2496471,824,7,1,77541
0,1,1,2,18865,CRYSTAL BEACH,Brazoria (County),1791,0,1,0,1,05b8b5e332d26cc16a5440cdcf84191d,5a2eb84d758c6e4347f557bb,2017-12-11T16:54:37.440Z,0,0,2413,28037,TX,30450,37729,2,1,2,77650
52,888,39,979,2440,ALVIN,Brazoria (County),1791,57,1,21,27,713452309fc2133bf5365f78b5032fa9,5a2eb84d758c6e4347f557b8,2017-12-11T16:54:37.439Z,406,300902,619131,3309208,TX,4229241,6117562,2507,33,4,77511
2,9,1,12,2457,OYSTER CREEK,Brazoria (County),1791,1,30,0,1,cc579fd80eb11b4a6c1d6c2f55633959,5a2eb84d758c6e4347f5578d,2017-12-11T16:54:37.410Z,11,6407,9242,66117,TX,81766,105666,43,1,93,77541
0,7,0,7,1779,BROOKSIDE VILLAGE,Brazoria (County),1791,0,11,0,0,e38f67b1bcab640b5f6d84341229253e,5a2eb84d758c6e4347f557ba,2017-12-11T16:54:37.440Z,2,170,4374,8314,TX,12858,23132,13,0,28,77581
0,42,0,42,973,DIBOLL,Angelina (County),1791,2,97,0,0,473c3da5971c2c869c6b6bcc44985778,5a2eb84d758c6e4347f55793,2017-12-11T16:54:37.413Z,31,11913,3066,47557,TX,62535,126545,130,0,313,75941
0,155,0,155,602,LAKE JACKSON,Brazoria (County),1791,0,235,1,0,495cdc9befe80acd55111f5545648db6,5a2eb84d758c6e4347f557ad,2017-12-11T16:54:37.424Z,143,87162,29482,66725,TX,183368,228314,379,0,2,77566
0,3,0,3,826,WALLIS,Austin (County),1791,0,11,0,0,2c94d2000921b120cdd183444f518674,5a2eb84d758c6e4347f55797,2017-12-11T16:54:37.414Z,2,792,2236,2277,TX,5306,10742,13,0,14,77485
0,7,0,7,647,BURKE,Angelina (County),1791,0,7,0,0,8d8e49c58ce427d6b9097841664b5201,5a2eb84d758c6e4347f557b3,2017-12-11T16:54:37.426Z,3,2383,1122,1956,TX,5461,6465,10,0,24,75941
44,515,6,565,2151,PEARLAND,Brazoria (County),1791,64,1,8,8,2f0886d997a3239b627ad57af6911073,5a2eb84d758c6e4347f5578e,2017-12-11T16:54:37.410Z,378,207697,343574,1472384,TX,2023655,4818855,2240,6,5,77584
0,80,1,81,1045,HUNTINGTON,Angelina (County),1791,0,139,0,1,7a01e4c2ba8410a1c35778135c6f34df,5a2eb84d758c6e4347f557a2,2017-12-11T16:54:37.419Z,59,22963,22722,111293,TX,156977,208030,199,1,460,75949
0,17,0,17,461,JONES CREEK,Brazoria (County),1791,0,25,0,0,87ebbdb47c5f864be157ab318a613036,5a2eb84d758c6e4347f5579e,2017-12-11T16:54:37.417Z,17,4642,5218,9932,TX,19792,19366,42,0,114,77541
0,44,0,44,1366,POLLOK,Angelina (County),1791,0,68,0,0,a231804066a6924c1c9ccac6688ada44,5a2eb84d758c6e4347f55795,2017-12-11T16:54:37.413Z,12,12057,6886,44355,TX,63297,109262,80,0,177,75969
14,139,5,158,2437,MANVEL,Brazoria (County),1791,17,389,5,5,aa9b332839a2bd53091082a51d4f2d54,5a2eb84d758c6e4347f5579f,2017-12-11T16:54:37.418Z,118,49622,102223,527957,TX,679802,1301368,534,4,1,77578
14,286,9,309,1686,ANGLETON,Brazoria (County),1791,6,666,2,9,ab7f497cbe48160ca014ded1abeb6a7a,5a2eb84d758c6e4347f557a7,2017-12-11T16:54:37.421Z,305,131863,168242,846414,TX,1146519,1665666,988,9,2,77515
0,0,0,0,32728,CYSTAL BEACH,Galveston (County),1791,0,0,0,1,8bfeae73fbd13cdde6a21c3d714b605b,5a2eb84d758c6e4347f557e8,2017-12-11T16:54:37.502Z,0,0,0,0,TX,0,32728,1,0,1,77650
0,1,0,1,5278,COVE,Chambers (County),1791,0,1,0,0,19313e275f8cb8392f0434ae8448e081,5a2eb84d758c6e4347f557c5,2017-12-11T16:54:37.487Z,0,0,2886,5278,TX,8164,5278,1,0,1,77521
2,40,4,46,3695,JACKSONVILLE,Cherokee (County),1791,4,76,0,4,2c8d05e5758e10e36e66d696aa0e6ab9,5a2eb84d758c6e4347f557d2,2017-12-11T16:54:37.493Z,40,6827,28536,229959,TX,265323,458127,124,4,222,75766
1,4,0,5,2326,ARCADIA,Galveston (County),1791,1,6,0,0,54d7423a0a92e2c015935e554295fe0d,5a2eb84d758c6e4347f557e3,2017-12-11T16:54:37.500Z,2,2555,1732,16824,TX,21111,20933,9,0,15,77517
1,17,0,18,1742,WELLS,Cherokee (County),1791,1,31,0,0,46e68d1d4eda541308461246a04a7340,5a2eb84d758c6e4347f557d4,2017-12-11T16:54:37.494Z,4,4006,6168,46798,TX,56971,62703,36,0,60,75976
7,71,4,82,4908,HANKAMER,Chambers (County),1791,8,146,3,6,d88023e90a75159475dfb4a22e301d2f,5a2eb84d758c6e4347f557c8,2017-12-11T16:54:37.488Z,17,21584,87036,336156,TX,444775,883426,180,4,254,77560
3,45,4,52,2703,BAYTOWN,Chambers (County),1791,2,97,3,2,28168fc5ee8c628a0de12799b4402290,5a2eb84d758c6e4347f557c4,2017-12-11T16:54:37.487Z,34,34020,33684,175194,TX,242897,373017,138,2,308,77523
0,7,0,7,1878,MONT BELVIEU,Chambers (County),1791,1,6,0,0,b32048f49df9e67e6aae127368e507b3,5a2eb84d758c6e4347f557ca,2017-12-11T16:54:37.489Z,4,3715,1404,3092,TX,8211,20661,11,0,33,77535
7,53,3,63,3594,OLD RIVER-WINFREE,Chambers (County),1791,8,97,0,3,d6fdd3e5473c1b822ea6daf87e7664c7,5a2eb84d758c6e4347f557cc,2017-12-11T16:54:37.490Z,20,18661,38918,224472,TX,282051,459978,128,2,195,77535
1,15,0,16,1021,KATY,Fort Bend (County),1791,0,52,1,0,91a1407e16f039603e597bd3c0476ff2,5a2eb84d758c6e4347f557db,2017-12-11T16:54:37.497Z,31,12700,4026,27455,TX,44181,85771,84,0,266,77494
1,0,0,1,19057,GALVESTON/PORT BOLIVAIR,Galveston (County),1791,1,0,0,0,5e8a1948cdb807ccde2c35be62aab893,5a2eb84d758c6e4347f557ec,2017-12-11T16:54:37.504Z,0,2372,3464,16685,TX,22521,19057,1,0,1,77650
10,171,0,181,1643,HOUSTON,Fort Bend (County),1791,14,712,2,1,580bb87d4da49648711b3b697e82498f,5a2eb84d758c6e4347f5580d,2017-12-11T16:54:37.518Z,130,74039,182757,301598,TX,558394,1410948,859,0,1,77053
4,46,4,54,3171,SWEENY,Brazoria (County),1791,3,90,1,4,421920337896e1a484dfdb6676a78460,5a2eb84d758c6e4347f557c1,2017-12-11T16:54:37.485Z,33,8158,52653,285353,TX,346165,415446,131,4,323,77480
0,0,0,0,11485,WINNIE,Chambers (County),1791,1,0,0,0,27d2029b3737ee5a3622e3e1ca5efaa6,5a2eb84d758c6e4347f557d0,2017-12-11T16:54:37.492Z,0,0,0,0,TX,0,11485,1,0,1,77662
0,1,0,1,10655,FREEPORT,Galveston (County),1791,1,0,0,0,5d78152f7f112e4c1744442a01f91555,5a2eb84d758c6e4347f557e9,2017-12-11T16:54:37.503Z,0,0,0,6600,TX,6600,10655,1,0,1,77541
8,35,13,56,10369,STOWELL,Chambers (County),1791,5,86,3,12,1acb18cd453a1eab756e04edb8baabb3,5a2eb84d758c6e4347f55803,2017-12-11T16:54:37.514Z,9,19750,70843,534608,TX,625201,1192460,115,12,160,77661
1,1,4,6,65153,OAK ISLAND,Chambers (County),1791,1,0,1,4,3acbe44bb1b8590f5eaf3ff05c0ce2f6,5a2eb84d758c6e4347f557cb,2017-12-11T16:54:37.490Z,1,2499,9027,123450,TX,134975,456071,7,4,8,77514
74,294,171,539,21675,ANAHUAC,Chambers (County),1791,58,492,58,181,6482fbce9874b728b2c04c18a1fc06dc,5a2eb84d758c6e4347f557c2,2017-12-11T16:54:37.486Z,86,485177,815398,5671975,TX,6972550,18965564,875,151,1,77514
1,85,1,87,941,SUGAR LAND,Fort Bend (County),1791,6,398,0,1,89edcb8904efe9f69f61d4f3557c0617,5a2eb84d758c6e4347f557e0,2017-12-11T16:54:37.499Z,154,19317,49504,125042,TX,193864,525930,559,1,1,77478
0,1,0,1,6894,BAYTOWN,Galveston (County),1791,0,1,0,0,2990404e649f8171014bb4673521e545,5a2eb84d758c6e4347f557e4,2017-12-11T16:54:37.500Z,0,0,0,6894,TX,6894,6894,1,0,1,77520
1,0,1,2,80869,GILCHREST,Galveston (County),1791,0,0,0,2,908e12fedd863a22e10415aab06a4574,5a2eb84d758c6e4347f557ed,2017-12-11T16:54:37.504Z,1,12853,6562,27396,TX,46811,242607,3,1,3,77617
1,11,5,17,23517,SMITH POINT,Chambers (County),1791,4,12,1,7,c3bf89321c7e810014e39122d6974dbc,5a2eb84d758c6e4347f55801,2017-12-11T16:54:37.513Z,2,2131,20964,168990,TX,192085,611435,26,5,30,77514
0,1,0,1,12885,ANAHAC,Chambers (County),1791,1,0,0,0,c6831fd97c73c609f2885ee717fb659c,5a2eb84d758c6e4347f557f6,2017-12-11T16:54:37.508Z,0,0,1404,852,TX,2256,12885,1,0,1,77514
0,2,0,2,908,BULLARD,Cherokee (County),1791,0,8,0,0,81913ad524f161575f4867bbc4262df2,5a2eb84d758c6e4347f557d1,2017-12-11T16:54:37.492Z,4,900,1542,0,TX,2442,10896,12,0,17,75757
12,151,3,166,1559,FRESNO,Fort Bend (County),1791,16,693,3,2,f05934540a74fb89b137a3aca6d79329,5a2eb84d758c6e4347f557d6,2017-12-11T16:54:37.494Z,197,64550,146908,407414,TX,618873,1420486,911,3,1,77545
1,45,2,48,1419,ROSENBERG,Fort Bend (County),1791,0,106,1,1,0d4ca720fdae779dd0afe9a9f38622ce,5a2eb84d758c6e4347f557df,2017-12-11T16:54:37.498Z,52,12392,24450,155441,TX,192283,227106,160,1,376,77471
0,8,1,9,2729,BEACH CITY,Chambers (County),1791,0,23,0,1,ed53d1b5eaee546edc7c69c163e2ed19,5a2eb84d758c6e4347f557f9,2017-12-11T16:54:37.510Z,11,510,1544,40533,TX,42587,95524,35,1,65,77523
0,10,0,10,1989,MONT BELVIEU,Chambers (County),1791,1,31,0,0,775024f109b6241578664e3917b0e7bb,5a2eb84d758c6e4347f557fe,2017-12-11T16:54:37.512Z,8,1791,3628,20940,TX,26359,79560,40,0,100,77520
0,65,2,67,1250,STAFFORD,Fort Bend (County),1791,3,347,1,1,8b0c9ca0d6ee3a00fa6fb7dfaba582d2,5a2eb84d758c6e4347f55814,2017-12-11T16:54:37.521Z,103,10323,30222,143167,TX,183712,568658,455,2,1,77477
0,1,0,1,4579,ALGOA,Galveston (County),1791,0,2,0,0,ccfcd8f29221dcd7a58cdf2e1a65a1a8,5a2eb84d758c6e4347f55817,2017-12-11T16:54:37.522Z,0,730,0,0,TX,730,9157,2,0,2,77517
0,5,0,5,587,KATY,Fort Bend (County),1791,1,21,0,0,52b6237ff2522a65eb62cbf26e7a4b67,5a2eb84d758c6e4347f5580f,2017-12-11T16:54:37.519Z,15,3285,0,0,TX,3285,21721,37,0,145,77450
1,40,1,42,849,SUGAR LAND,Fort Bend (County),1791,1,154,1,0,e101d5f2de49e52d247cbf3656ccaa7e,5a2eb84d758c6e4347f55815,2017-12-11T16:54:37.521Z,50,15783,28393,63079,TX,107255,174796,206,1,554,77498
69,329,334,732,70367,CRYSTAL BEACH,Galveston (County),1791,75,118,102,552,8ed1ba6d5b644b5171da12d526cb364e,5a2eb84d758c6e4347f5581c,2017-12-11T16:54:37.525Z,68,495630,1763701,9589634,TX,11848965,64385529,915,295,1,77650
0,0,1,1,26442,PORT BOLIVAR PENINSULA,Galveston (County),1791,0,0,0,1,a073dd95bd01b840ce36582d52b34a33,5a2eb84d758c6e4347f5582d,2017-12-11T16:54:37.532Z,1,0,1704,27096,TX,28800,52884,2,1,2,77650
0,0,1,1,60513,OAK ISLAND,Chambers (County),1791,0,0,0,1,e1f09fb1a00e458e4f3b0debb929b22e,5a2eb84d758c6e4347f55842,2017-12-11T16:54:37.541Z,1,0,1786,27014,TX,28800,121025,2,1,2,77665
0,1,0,1,3063,EASTON,Gregg (County),1791,0,1,0,0,2545ab26970e5f8181f64e9f18c97870,5a2eb84d758c6e4347f55833,2017-12-11T16:54:37.534Z,1,0,0,6126,TX,6126,6126,2,0,3,75641
117,576,100,793,11683,GALVESTON,Galveston (County),1791,290,1,172,182,de1b7da4283e5e8c50d0529e8cc50681,5a2eb84d758c6e4347f557eb,2017-12-11T16:54:37.503Z,282,503315,1544744,4340742,TX,6388801,23131505,1980,70,2,77554
1,69,0,70,598,RICHMOND,Fort Bend (County),1791,0,333,0,0,abfecaa828ac2f9c80f1a222ab14e8ed,5a2eb84d758c6e4347f55813,2017-12-11T16:54:37.521Z,197,25592,26404,67647,TX,119643,316990,530,0,1,77469
0,0,0,0,14683,JAMAICA BEACH,Galveston (County),1791,1,0,0,0,150893b3c80dc1bec2a69308323c7ea8,5a2eb84d758c6e4347f55829,2017-12-11T16:54:37.530Z,0,0,0,0,TX,0,14683,1,0,1,77544
0,1,0,1,7380,LA PORTE,Galveston (County),1791,0,1,1,0,0bc58a37de47b350c66c99a401d02d25,5a2eb84d758c6e4347f5582b,2017-12-11T16:54:37.531Z,1,0,1786,0,TX,1786,22141,3,0,3,77571
