approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
1,2,0,3,2726,LOS EBANOS,Hidalgo (County),1931,1,4,0,0,1c60916f6b2b5ba15ee8f725371f404b,5a2eb8b1758c6e4347f57c3e,2017-12-11T16:56:17.653Z,3,346,2880,20884,TX,24110,21812,8,0,11,78565
0,77,0,77,1176,BROWNSVILLE,Cameron (County),1931,0,118,0,0,fe72d99a66da06e2ec684a7f86e98a66,5a2eb8b1758c6e4347f57c34,2017-12-11T16:56:17.637Z,12,12113,15166,106390,TX,133670,152908,130,0,138,78521
1,3,0,4,1600,MCALLEN,Hidalgo (County),1931,1,6,0,0,61a4ef6ebc32f96dc7542f81c86138ca,5a2eb8b1758c6e4347f57c48,2017-12-11T16:56:17.657Z,5,11896,3955,5765,TX,21616,19201,12,0,12,78503
0,5,0,5,1307,LAGUNA HEIGHTS,Cameron (County),1931,0,6,0,0,070639596a12eb342a0c93a55063d164,5a2eb8b1758c6e4347f57c5c,2017-12-11T16:56:17.664Z,0,1396,0,4121,TX,5517,7839,6,0,6,78578
0,7,1,8,3292,LAREDO,Webb (County),1931,0,11,2,0,ccbcec8b1f4b58446b6c01a5064acf56,5a2eb8b1758c6e4347f57c52,2017-12-11T16:56:17.661Z,4,7616,4840,27505,TX,39961,55961,17,1,18,78040
7,132,0,139,2650,EDCOUCH,Hidalgo (County),1931,4,157,0,0,3b6c31f458e3a9290671748852e0e4e2,5a2eb8b1758c6e4347f57c6b,2017-12-11T16:56:17.670Z,5,56189,47662,373830,TX,477681,439857,166,0,168,78538
0,2,0,2,510,LUBBOCK,Lubbock (County),1931,0,8,0,0,9cfd8c9c598984760a9981ec4fa9a487,5a2eb8b1758c6e4347f57c4d,2017-12-11T16:56:17.659Z,4,314,0,670,TX,985,6121,12,0,13,79413
1,14,0,15,1187,PORT ISABEL,Cameron (County),1931,0,24,0,0,1a600d80945ef6f3c894a1c109e9b429,5a2eb8b1758c6e4347f57c42,2017-12-11T16:56:17.654Z,3,3438,13899,22714,TX,40051,32060,27,0,28,78578
0,55,0,55,1193,PHARR,Hidalgo (County),1931,2,91,0,0,bb84bbd9a53c7c3e5e4122bc50e7faba,5a2eb8b1758c6e4347f57c4a,2017-12-11T16:56:17.657Z,12,13052,15672,86440,TX,115164,125225,105,0,110,78577
5,170,2,177,1595,DONNA,Hidalgo (County),1931,2,243,0,2,e383aa6265919f0624357da39804a584,5a2eb8b1758c6e4347f57c3b,2017-12-11T16:56:17.652Z,29,81363,82762,305691,TX,469815,440254,276,2,279,78537
1,29,0,30,432,MISSION,Hidalgo (County),1931,0,65,0,0,7183c54c07af50dc9eab49639e91a35a,5a2eb8b1758c6e4347f57c49,2017-12-11T16:56:17.657Z,13,6096,14745,13601,TX,34442,33714,78,0,79,78574
0,6,0,6,2123,LUBBOCK,Lubbock (County),1931,0,13,0,0,dce77fa77dbb4ba5894c0f00ebe0ae56,5a2eb8b1758c6e4347f57c4c,2017-12-11T16:56:17.658Z,3,763,0,29003,TX,29766,33960,16,0,19,79404
2,95,0,97,951,MERCEDES,Hidalgo (County),1931,2,186,0,0,e29437dff2cd3863881c30e1801dc8df,5a2eb8b1758c6e4347f57c3f,2017-12-11T16:56:17.653Z,22,33730,44972,130004,TX,208706,199709,210,0,215,78570
4,53,1,58,1144,ALAMO,Hidalgo (County),1931,1,116,1,0,1d44bd210e61c7499dd4b0a5e68d0db3,5a2eb8b1758c6e4347f57c44,2017-12-11T16:56:17.655Z,27,25932,33800,126468,TX,186200,165873,145,0,150,78516
0,3,0,3,1202,LUBBOCK,Lubbock (County),1931,0,11,0,0,27db1be7ee808e86442d68fbce4f95ff,5a2eb8b1758c6e4347f57c4e,2017-12-11T16:56:17.659Z,2,0,1154,7521,TX,8675,15628,13,0,13,79424
9,291,0,300,1242,EDINBURG,Hidalgo (County),1931,5,406,0,0,64e3e0b676c4e38eca71830df9e98ec1,5a2eb8b1758c6e4347f57c3c,2017-12-11T16:56:17.652Z,24,100160,161760,409081,TX,671001,540154,435,0,448,78542
1,17,0,18,1435,LA FERIA,Cameron (County),1931,0,22,0,0,0dc4decbd2f65a75b1350de1f2f91f14,5a2eb8b1758c6e4347f57c41,2017-12-11T16:56:17.654Z,1,2843,14405,27008,TX,44255,32999,23,0,24,78559
13,14,2,29,6066,LA JOYA,Hidalgo (County),1931,12,21,1,1,c16e49a062a00598cd91afab054cdf36,5a2eb8b1758c6e4347f57c3d,2017-12-11T16:56:17.652Z,12,47577,40984,218169,TX,306729,285101,47,1,49,78560
0,14,0,14,1472,LOS FRESNOS,Cameron (County),1931,0,23,0,0,470496272be479e0e8d4c3f15c649ce0,5a2eb8b1758c6e4347f57c68,2017-12-11T16:56:17.669Z,1,196,2696,28137,TX,31029,35338,24,0,29,78566
0,2,1,3,17227,HIDALGO,Hidalgo (County),1931,0,5,0,1,e90ba4b6fb2ba7d16496bea588f9a9de,5a2eb8b1758c6e4347f57c46,2017-12-11T16:56:17.656Z,1,0,2076,40351,TX,42427,120589,7,1,7,78557
0,32,0,32,1247,HARLINGEN,Cameron (County),1931,0,46,0,0,7c758d75ab7c80e905848dd77653bfed,5a2eb8b1758c6e4347f57c67,2017-12-11T16:56:17.669Z,4,5283,7332,50787,TX,63402,62353,50,0,56,78550
14,14,2,30,9065,ROMA,Starr (County),1931,12,18,3,1,d971f6d35a0be6f7e0c2277fe9e33fbc,5a2eb8b1758c6e4347f57c51,2017-12-11T16:56:17.660Z,3,63792,35932,231050,TX,330773,335399,37,2,39,78584
1,15,0,16,2328,SANTA ROSA,Cameron (County),1931,0,20,0,0,3e08189e99e8bb6fe2a066d1aab2198b,5a2eb8b1758c6e4347f57c6a,2017-12-11T16:56:17.670Z,0,6618,12009,35777,TX,54404,46567,20,0,20,78593
7,18,2,27,6031,EAGLE PASS,Maverick (County),1931,8,25,1,1,7ad78ca215e97cec7bdeb091bcb5b215,5a2eb8b1758c6e4347f57c4f,2017-12-11T16:56:17.659Z,4,40466,19930,159529,TX,219925,235201,39,1,43,78852
0,41,0,41,914,BROWNSVILLE,Cameron (County),1931,0,79,0,0,e6a9698b57d28c3a470fe657f8d8b738,5a2eb8b1758c6e4347f57c5b,2017-12-11T16:56:17.664Z,11,6582,10780,45248,TX,62610,82217,90,0,93,78526
0,10,0,10,1305,RIO HONDO,Cameron (County),1931,0,14,0,0,19ffb4ab8ccbb3e2904374dc32a879a7,5a2eb8b1758c6e4347f57c69,2017-12-11T16:56:17.669Z,3,2344,1484,18008,TX,21836,22181,17,0,17,78583
0,1,0,1,5846,EL INDIO,Maverick (County),1931,0,1,0,0,6a515267ed9a570ccb2e054a48dacf81,5a2eb8b1758c6e4347f57c71,2017-12-11T16:56:17.720Z,0,314,0,5531,TX,5846,5846,1,0,1,78860
1,69,2,72,1965,HEBBRONVILLE,Jim Hogg (County),1931,2,162,0,2,73ba6b3dd9deb76968edead8515c69c4,5a2eb8b1758c6e4347f57c6d,2017-12-11T16:56:17.718Z,19,10638,47876,173868,TX,232381,363492,185,2,198,78361
3,24,1,28,3434,GRULLA,Starr (County),1931,3,35,2,0,801b67692393dc90c91a8856b6e8fcd0,5a2eb8b1758c6e4347f57c72,2017-12-11T16:56:17.720Z,9,8335,25462,128911,TX,162707,168273,49,0,59,78548
0,7,0,7,1186,OILTON,Webb (County),1931,0,10,0,0,0cc0aaec5627b68496a42cfa2774c7cc,5a2eb8b1758c6e4347f57c75,2017-12-11T16:56:17.722Z,0,0,4694,11260,TX,15954,11862,10,0,10,78371
9,28,3,40,4460,DEL RIO,Val Verde (County),1931,6,54,4,2,53dbbbc07dff5f0aaa99a34eeb112f59,5a2eb8b1758c6e4347f57c73,2017-12-11T16:56:17.721Z,12,48501,31415,234915,TX,314831,347870,78,1,91,78840
10,19,0,29,6772,LAREDO,Webb (County),1931,11,20,0,0,0c2fd1cfa99ee30fa969a16896ce57dd,5a2eb8b1758c6e4347f57c74,2017-12-11T16:56:17.721Z,4,55765,29116,158092,TX,242973,237004,35,0,40,78043
4,103,0,107,1458,EDINBURG,Hidalgo (County),1931,5,152,0,0,7ef5e29fcc8df904e0c79a85da79fea3,5a2eb8b1758c6e4347f57cc5,2017-12-11T16:56:17.753Z,11,33447,69741,142011,TX,245199,244875,168,0,174,78541
0,21,0,21,943,PROGRESO,Hidalgo (County),1931,0,39,0,0,61c708042c52664c0f250a328496351d,5a2eb8b1758c6e4347f57cca,2017-12-11T16:56:17.754Z,8,2029,5806,35469,TX,43304,44320,47,0,47,78579
22,19,15,56,14434,LAREDO,Webb (County),1931,17,24,16,5,f37bf20b1b3f06bb8f7db57b4f7d372a,5a2eb8b1758c6e4347f57cd2,2017-12-11T16:56:17.758Z,5,138843,81602,660242,TX,880686,967080,67,7,76,78041
