Year, Units ,Value (000),Value (Billions),Cumulative
2000,35900," 4,207,090 ", 4.21 , 4.21 
2001,37569," 4,440,651 ", 4.44 , 8.65 
2002,47037," 5,146,453 ", 5.15 , 13.79 
2003,56571," 5,939,092 ", 5.94 , 19.73 
2004,56036," 6,499,425 ", 6.50 , 26.23 
2005,62125," 7,376,807 ", 7.38 , 33.61 
2006,71719," 9,137,366 ", 9.14 , 42.75 
2007,63274," 8,291,959 ", 8.29 , 51.04 
2008,42728," 5,785,367 ", 5.79 , 56.82 
2009,27326," 3,869,594 ", 3.87 , 60.69 
2010,27452," 4,174,877 ", 4.17 , 64.87 
2011,31271," 4,831,152 ", 4.83 , 69.70 
2012,43290," 6,439,072 ", 6.44 , 76.14 
2013,51333," 7,402,233 ", 7.40 , 83.54 
2014,63749," 9,252,773 ", 9.25 , 92.79 
2015,56901," 8,566,382 ", 8.57 , 101.36 
2016,44732," 7,395,665 ", 7.40 , 108.76 
2017,42395," 7,880,444 ", 7.88 , 116.64 
2018,57288," 9,172,451 ", 9.17 , 125.81 
