approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
21,28,9,58,16274,BROOKSIDE VILLAGE,Brazoria (County),4332,22,13,18,7,d39eaade090e970f15cb2ef1775498ee,5a2f5290758c6e4347f88e5c,2019-01-29T15:58:16.889Z,8,67799.0,125800,572405.0,TX,766003.0,1106671,68,5,74,77581
0,7,0,7,1563,PAIGE,Bastrop (County),4332,0,14,0,0,38c9dc4304ea3bf7ff1d6a2b9ca42960,5a2f5290758c6e4347f88e3e,2018-11-20T19:06:44.537Z,4,1969.0,5748,6425.0,TX,14143.0,28138,18,0,20,78659
1,4,0,5,1142,SINTON,Bee (County),4332,1,16,0,0,c8bd8f7a0d762d22cab171cd6b2af10a,5a2f5290758c6e4347f88e43,2018-11-20T19:06:44.617Z,5,1404.0,1310,12508.0,TX,15222.0,25134,22,0,31,78387
89,412,43,544,8204,ARANSAS PASS,Aransas (County),4332,105,429,17,50,b48db24f5334b42d6a655d88efafc4c9,5a2f5290758c6e4347f88e52,2019-01-29T15:58:16.863Z,63,549662.0,628728,2736842.0,TX,3915231.0,5447839,664,19,813,78336
0,2,1,3,11444,ARANSAS PASS,Aransas (County),4332,0,2,0,1,a41d473c97ba418a204439b22c7633da,5a2f5290758c6e4347f88e48,2018-11-20T19:06:44.249Z,0,1935.0,1444,30986.0,TX,34365.0,34333,3,0,3,78335
1,2,0,3,4180,PORT ARANSAS,Aransas (County),4332,1,2,0,0,0f64b4f4cdabeead5f6cfaa94ba5a829,5a2f5290758c6e4347f88e4d,2019-01-29T15:58:16.897Z,2,2905.0,4600,10646.0,TX,18152.0,20904,5,0,5,78373
53,609,18,680,10256,LAKE JACKSON,Brazoria (County),4332,78,101,94,76,734e750a40f8668bcdb2592f6a6f103b,5a2f5291758c6e4347f88eca,2019-01-29T15:58:16.996Z,290,340259.0,613947,1353237.0,TX,2307443.0,6553976,639,9,1219,77566
1,0,0,1,4728,BUDA,Caldwell (County),4332,0,1,0,0,275e7b04a336b541d2cbff4d4e96f67e,5a2f5290758c6e4347f88e84,2019-01-29T15:58:16.997Z,1,0.0,2502,9457.0,TX,11959.0,9457,2,0,2,78610
1,1,0,2,2955,BAYTOWN,Chambers (County),4332,1,0,0,0,ef51bf4da518db55a43458c5f65e942c,5a2f5291758c6e4347f88ed9,2018-11-20T19:06:45.192Z,3,750.0,1952,11570.0,TX,14272.0,11820,4,0,4,77520
1,0,0,1,9926,FOUR CORNERS,Fort Bend (County),4332,0,1,0,0,324a8e7cd3dd98fd756fd416567ee567,5a2f5291758c6e4347f88f4c,2019-01-29T15:58:17.073Z,0,0.0,2132,9510.0,TX,11642.0,9927,1,0,1,77498
0,5,4,9,23404,TAFT,Aransas (County),4332,1,7,2,2,9b6558771c1949c89c417d594e399273,5a2f5290758c6e4347f88e2d,2019-01-29T15:58:16.904Z,1,12911.0,5314,109943.0,TX,128168.0,304265,13,1,24,78390
3,3,0,6,9956,MONT BELVIEU,Chambers (County),4332,4,2,1,0,8d6f633f25fb723dc1788f9302abcfb4,5a2f5291758c6e4347f88f01,2019-01-29T15:58:17.034Z,2,3607.0,1952,49195.0,TX,54753.0,89612,9,0,11,77580
64,934,12,1010,6148,RICHMOND,Fort Bend (County),4332,165,282,96,33,d5d0c997c740177e1f6935037e230b74,5a2f5290758c6e4347f88ea7,2019-01-29T14:38:00.771Z,532,517792.0,821715,1316403.0,TX,2655909.0,6812463,1108,3,2144,77406
1,11,0,12,2360,LULING,Caldwell (County),4332,2,19,0,0,d229afe0773c551b3ac6821fc947126f,5a2f5291758c6e4347f88ed4,2018-11-20T19:06:45.197Z,8,7689.0,15654,19423.0,TX,42766.0,68444,29,0,38,78648
0,14,0,14,856,POINT COMFORT,Calhoun (County),4332,0,9,0,0,7f71810c33730748d187fedf8b4d3b56,5a2f5291758c6e4347f88f33,2019-01-29T15:58:16.998Z,4,8954.0,2247,5207.0,TX,16407.0,11140,13,0,41,77978
29,132,20,181,9613,FULSHEAR,Fort Bend (County),4332,32,51,34,14,abcd4b2b32b421fb0f7b823dce822799,5a2f5291758c6e4347f88f5b,2019-01-29T15:58:17.073Z,85,185443.0,201481,969452.0,TX,1356377.0,2076413,216,11,365,77441
0,4,0,4,873,NEW ULM,Austin (County),4332,0,5,0,0,70cafdb41c38ca0abed5c009dd38bcfc,5a2f5290758c6e4347f88e66,2018-11-20T19:06:44.207Z,8,1500.0,0,9700.0,TX,11200.0,11355,13,0,14,78950
1,15,0,16,1185,KENDLETON,Fort Bend (County),4332,1,23,0,0,cf34dab5e4e776a8102126a23185ba57,5a2f5291758c6e4347f88f6a,2018-11-20T19:06:45.380Z,13,10102.0,4702,16471.0,TX,31275.0,43846,37,0,48,77451
0,6,0,6,1501,TULETA,Bee (County),4332,0,13,0,0,94a3cd2df35f18c89ed17f679283db94,5a2f5290758c6e4347f88eb6,2019-01-29T15:58:16.963Z,5,750.0,7786,17482.0,TX,26018.0,27029,18,0,21,78162
0,4,0,4,16205,SIMONTON,Austin (County),4332,0,4,1,1,1a7dc412912deee6e9af9c8c3c6e517a,5a2f5290758c6e4347f88e3c,2019-01-29T15:58:16.941Z,2,4718.0,6470,750.0,TX,11938.0,129648,8,0,8,77485
0,5,1,6,4712,FRIENDSWOOD,Brazoria (County),4332,1,3,1,0,2b255fe9e9accfd85264fa4a778f4db0,5a2f5291758c6e4347f88ebb,2018-11-20T19:06:44.542Z,6,12574.0,5582,19242.0,TX,37398.0,51836,11,1,16,77546
17,89,11,117,10545,JONES CREEK,Brazoria (County),4332,21,28,10,9,a3c4fc7815ae9244756737f9d62a8304,5a2f5291758c6e4347f88f29,2018-11-20T19:06:45.126Z,23,122048.0,100177,525337.0,TX,747562.0,959639,91,4,168,77541
