lattitude,longitude
29.745247,-95.741783
30.046777,-95.221022
29.776093,-95.603037
30.053105,-95.157943
30.017301,-95.286217
29.827486,-95.65992
29.515074,-95.192133
29.772179,-95.514203
29.852397,-95.2541
29.994499,-95.177499
29.8586,-95.580768
29.741325,-95.560254
30.00824,-95.438996
29.750233,-95.615383
29.827869,-95.287485
29.561554,-95.279739
29.979648,-95.572877
30.007063,-95.488362
29.586959,-95.225601
29.675339,-95.479372
29.999166,-95.400119
29.76393,-95.173121
29.685706,-95.434764
29.795268,-95.233977
29.736295,-95.523292
29.988455,-95.5312
