Year,Addicks,Texas City,Southwest,Seabrook,Pasadena,Northeast,Lake Houston,Johnson Space City,East End,Clear Lake Shallow,Clearlake deep,Baytown Shallow,Baytown Deep
2000,3.127916667,0.094615385,1.529692308,1.532769231,0.302461538,0.863307692,0.551307692,2.338076923,1.312846154,0.675615385,0.685538462,0.537153846,0.962
2001,3.202769231,0.096846154,1.530384615,1.511153846,0.329,0.868076923,0.552538462,2.339692308,1.314076923,0.682846154,0.693307692,0.534076923,0.988692308
2002,3.295076923,0.094,1.528538462,1.509461538,0.314923077,0.868384615,0.557230769,2.336230769,1.313230769,0.680384615,0.691307692,0.522153846,0.959307692
2003,3.374923077,0.092153846,1.532153846,1.500692308,0.296461538,0.867461538,0.563076923,2.335076923,1.311538462,0.676153846,0.680230769,0.517153846,0.938769231
2004,3.400153846,0.094538462,1.506692308,1.491846154,0.267615385,0.847461538,0.555230769,2.336,1.306153846,0.675923077,0.682230769,0.502769231,0.919615385
2005,3.430461538,0.094384615,1.526615385,1.486923077,0.233923077,0.829846154,0.557307692,2.339769231,1.305,0.673307692,0.680692308,0.523,0.920538462
2006,3.496538462,0.096769231,1.562692308,1.499769231,0.244538462,0.843846154,0.566461538,2.349615385,1.310384615,0.673692308,0.685153846,0.543384615,0.926846154
2007,3.478,0.097538462,1.540615385,1.481461538,0.234615385,0.832416667,0.559583333,2.336307692,1.310076923,0.672583333,0.688769231,0.540615385,0.921538462
2008,3.483083333,0.096,1.544583333,1.489333333,0.23675,0.827333333,0.559166667,2.354166667,1.31525,0.673916667,0.689416667,0.549666667,0.9345
2009,3.530166667,0.091166667,1.626333333,1.498,0.251166667,0.844166667,0.565083333,2.396833333,1.322230769,0.674666667,0.693333333,0.585,0.95325
2010,3.536384615,0.094692308,1.611615385,1.497076923,0.285769231,0.856846154,0.571461538,2.386461538,1.325846154,0.676230769,0.700769231,0.708076923,0.971
2011,3.581153846,0.100846154,1.627307692,1.543692308,0.443846154,0.896,0.594,2.473538462,1.333615385,0.686923077,0.708307692,0.899615385,1.076230769
2012,3.619916667,0.09975,1.646333333,1.577583333,0.51375,0.898666667,0.608166667,2.467416667,1.341583333,0.697666667,0.714666667,1.012083333,1.122083333
2013,3.630833333,0.1005,1.637583333,1.580916667,0.616833333,0.913,0.618416667,2.47375,1.346083333,0.6985,0.715,1.057333333,1.160333333
2014,3.652090909,0.101,1.637909091,1.579272727,0.642636364,0.916636364,0.619454545,2.475181818,1.349,0.697272727,0.715636364,1.033272727,1.154090909
2015,3.65625,0.097333333,1.579151784,1.562333333,0.54275,0.91175,0.609,2.467083333,1.340916667,0.6955,0.717,0.9955,1.12825
2016,3.682333333,0.09775,1.674666667,1.522223149,0.493,0.918909091,0.610333333,2.4825,1.335083333,0.688333333,0.717416667,0.9735,1.109916667
2017,3.710833333,0.096,1.683583333,1.5825,0.473416667,0.940076923,0.614583333,2.498916667,1.338,0.670666667,0.70875,0.964583333,1.101666667
2018,3.73425,0.094916667,1.689083333,1.5705,0.46475,0.9535,0.616916667,2.531583333,1.340916667,0.665833333,0.704166667,0.94575,1.10275
