County ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Addicks,3.127916667,3.202769231,3.295076923,3.374923077,3.400153846,3.430461538,3.496538462,3.478,3.483083333,3.530166667,3.536384615,3.581153846,3.619916667,3.630833333,3.652090909,3.65625,3.682333333,3.710833333,3.73425
Texas City,0.094615385,0.096846154,0.094,0.092153846,0.094538462,0.094384615,0.096769231,0.097538462,0.096,0.091166667,0.094692308,0.100846154,0.09975,0.1005,0.101,0.097333333,0.09775,0.096,0.094916667
Southwest,1.529692308,1.530384615,1.528538462,1.532153846,1.506692308,1.526615385,1.562692308,1.540615385,1.544583333,1.626333333,1.611615385,1.627307692,1.646333333,1.637583333,1.637909091,1.579151784,1.674666667,1.683583333,1.689083333
Seabrook,1.532769231,1.511153846,1.509461538,1.500692308,1.491846154,1.486923077,1.499769231,1.481461538,1.489333333,1.498,1.497076923,1.543692308,1.577583333,1.580916667,1.579272727,1.562333333,1.522223149,1.5825,1.5705
Pasadena,0.302461538,0.329,0.314923077,0.296461538,0.267615385,0.233923077,0.244538462,0.234615385,0.23675,0.251166667,0.285769231,0.443846154,0.51375,0.616833333,0.642636364,0.54275,0.493,0.473416667,0.46475
Northeast,0.863307692,0.868076923,0.868384615,0.867461538,0.847461538,0.829846154,0.843846154,0.832416667,0.827333333,0.844166667,0.856846154,0.896,0.898666667,0.913,0.916636364,0.91175,0.918909091,0.940076923,0.9535
Lake Houston,0.551307692,0.552538462,0.557230769,0.563076923,0.555230769,0.557307692,0.566461538,0.559583333,0.559166667,0.565083333,0.571461538,0.594,0.608166667,0.618416667,0.619454545,0.609,0.610333333,0.614583333,0.616916667
Johnson Space City,2.338076923,2.339692308,2.336230769,2.335076923,2.336,2.339769231,2.349615385,2.336307692,2.354166667,2.396833333,2.386461538,2.473538462,2.467416667,2.47375,2.475181818,2.467083333,2.4825,2.498916667,2.531583333
East End,1.312846154,1.314076923,1.313230769,1.311538462,1.306153846,1.305,1.310384615,1.310076923,1.31525,1.322230769,1.325846154,1.333615385,1.341583333,1.346083333,1.349,1.340916667,1.335083333,1.338,1.340916667
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
